Total videos: 209

=== CATEGORY: Lê Lê kể chữ (89 videos) ===
01. ID: y_G-fvofAM4 | Title_ZH: 雨 | Title_VI: Vũ - Những hạt mưa rơi dưới đám mây | Order: 89
02. ID: CvkdL2Rt6eI | Title_ZH: 同 | Title_VI: Đồng - Mọi người cùng chung chí hướng dưới một mái nhà | Order: 88
03. ID: ZJqOZvdVeWg | Title_ZH: 喝 | Title_VI: Hát - Mở miệng uống nước dưới ánh mặt trời | Order: 87
04. ID: Q3OvNSVJPg0 | Title_ZH: 语 | Title_VI: Ngữ - Dùng ngôn từ để nói lên tâm ý | Order: 86
05. ID: s7GQCeCQkD4 | Title_ZH: 校 | Title_VI: Hiệu - Ngôi trường gỗ nơi hội tụ tri thức | Order: 85
06. ID: WVFZLgWtfRg | Title_ZH: 客 | Title_VI: Khách - Người phương xa đến dừng chân dưới mái nhà | Order: 84
07. ID: 8fsY2N4lOks | Title_ZH: 钱 | Title_VI: Tiền - Cuộc tranh giành của cải bằng hai thanh kiếm | Order: 83
08. ID: N_egVdqwUtc | Title_ZH: 从 | Title_VI: Tòng - Người bước đi theo sau người khác | Order: 82
09. ID: 9r6x0U0RNfc | Title_ZH: 钟 | Title_VI: Chung - Ý nghĩa chữ Chuông dễ nhớ vô cùng | Order: 81
10. ID: jWbwcpqXsF4 | Title_ZH: 果 | Title_VI: Quả - Nguồn gốc chữ Quả cực dễ nhớ | Order: 80
11. ID: wSugdlXjcjw | Title_ZH: 椅 | Title_VI: Ỷ - Chiếc ghế gỗ có tựa lưng lạ | Order: 79
12. ID: l4Rg9ukO8U4 | Title_ZH: 话 | Title_VI: Thoại - Chiếc lưỡi uốn lượn tạo câu chuyện | Order: 78
13. ID: 2LFEepG_1Ys | Title_ZH: 岁 | Title_VI: Tuế - Giải mã chữ Tuổi qua câu chuyện cực hay | Order: 77
14. ID: gAsw8SkAUkU | Title_ZH: 下 | Title_VI: Hạ - Rễ cây cắm sâu dưới mặt đất | Order: 76
15. ID: mP6brE6xiUc | Title_ZH: 气 | Title_VI: Khí - Từ dải mây trời đến năng lượng sống | Order: 75
16. ID: -Lu6gR_ERx4 | Title_ZH: 打 | Title_VI: Đả - Giải mã chữ Đả qua hình ảnh cực dễ nhớ | Order: 74
17. ID: 7yWzxg_n9DA | Title_ZH: 狗 | Title_VI: Cẩu - Cách nhớ chữ Con Chó qua câu chuyện bộ thủ | Order: 73
18. ID: 9Qi9jyMoS0A | Title_ZH: 什 | Title_VI: Thập - Người thắc mắc đứng trước mười món lạ | Order: 72
19. ID: sPFjgmSqyGg | Title_ZH: 得 | Title_VI: Tên Đắc Nhân tiếng Trung: 得人 hay 得仁? Giải mã ý nghĩa! | Order: 71
20. ID: dPC0nm5_PW4 | Title_ZH: 得 | Title_VI: Đắc - Bước đi từ lúc bình minh mới hé rạng, tay cầm thước đo | Order: 70
21. ID: 0fcYChxFeic | Title_ZH: 很 | Title_VI: Hận - Bước đi với ánh mắt quyết tâm | Order: 69
22. ID: TP6ObgHZwQc | Title_ZH: 觉 | Title_VI: Giác - Học xong thấy ánh sáng tỉnh thức | Order: 68
23. ID: kBS0J5LkTbU | Title_ZH: 时 | Title_VI: Thời - Mặt trời đo từng tấc thời gian | Order: 67
24. ID: ZKFGnZu36C4 | Title_ZH: 作 | Title_VI: Tác - Người bắt tay sáng tạo cái mới | Order: 66
25. ID: ycoBAmSHaIk | Title_ZH: 老 | Title_VI: Lão - Người già chống gậy bước đi | Order: 65
26. ID: GRCVyX1NVKc | Title_ZH: 汉 | Title_VI: Hán - Đôi tay xây nghiệp bên dòng Hán | Order: 64
27. ID: DrGtgLX5B38 | Title_ZH: 尖 | Title_VI: Tiêm - Đầu nhỏ thân to tạo mũi nhọn | Order: 63
28. ID: yPB0kkFBfDA | Title_ZH: 喜 | Title_VI: Hỷ - Kẻ sĩ mở miệng ca hát mừng hỷ | Order: 62
29. ID: LRSlWafLcdc | Title_ZH: 名 | Title_VI: Danh - Gọi tên nhau trong đêm tối | Order: 61
30. ID: gcdxpViyblE | Title_ZH: 衣 | Title_VI: Y - Chiếc áo dài cổ xòe rộng tà | Order: 60
31. ID: q_9fy1F5vbE | Title_ZH: 家 | Title_VI: Gia - Nuôi lợn dưới mái nhà ấm no | Order: 59
32. ID: jMB51QqslDU | Title_ZH: 女 | Title_VI: Nữ - Người phụ nữ quỳ gối cung kính | Order: 58
33. ID: OqhxB504-u8 | Title_ZH: 休 | Title_VI: Hưu - Người mệt mỏi tựa gốc cây nghỉ mát | Order: 57
34. ID: tSqPD1uCg2Y | Title_ZH: 水 | Title_VI: Thủy - Dòng sông chảy xiết tung bọt trắng | Order: 56
35. ID: s1WhwmGbo_s | Title_ZH: 不 | Title_VI: Bất - Rễ cây bị nhổ không thể mọc | Order: 55
36. ID: 5i27wCursTA | Title_ZH: 东 | Title_VI: Đông - Mặt trời mọc sau bao tải hàng | Order: 54
37. ID: Mx6Svocgil4 | Title_ZH: 车 | Title_VI: Xa - Chiếc xe cổ nhìn từ trên cao | Order: 53
38. ID: DBvjz-UjKcs | Title_ZH: 对 | Title_VI: Đối - Dùng tay đo đạc chuẩn xác | Order: 52
39. ID: lg4m_lqlQac | Title_ZH: 机 | Title_VI: Cơ - Cỗ máy gỗ vận hành thời cơ | Order: 51
40. ID: yVobRj4s42M | Title_ZH: 会 | Title_VI: Hội - Mọi người tụ họp bàn luận kiến thức | Order: 50
41. ID: sK3g_j5PN3A | Title_ZH: 服 | Title_VI: Phục - Đôi tay khoác áo cho người quỳ | Order: 49
42. ID: GTXKMZugW-M | Title_ZH: 谁 | Title_VI: Thùy - Cất tiếng hỏi tên chú chim nhỏ | Order: 48
43. ID: EXHGG43gVlk | Title_ZH: 馆 | Title_VI: Quán - Nơi quan dừng chân ăn uống | Order: 47
44. ID: cJ7U9Olpx7U | Title_ZH: 晶 | Title_VI: Tinh - Ba mặt trời cùng tỏa sáng lấp lánh | Order: 46
45. ID: 0vVPcmv9sZo | Title_ZH: 些 | Title_VI: Ta - Chỉ tay gom nhặt một vài thứ | Order: 45
46. ID: XznUKXARWeA | Title_ZH: 人 | Title_VI: Nhân - Người đứng vững chãi trên mặt đất | Order: 44
